INFO 2025-07-01 15:34:03,750 autoreload 18440 21488 Watching for file changes with StatReloader
INFO 2025-07-01 15:56:56,353 basehttp 18440 15552 "GET /api/movies/2/ HTTP/1.1" 200 180
INFO 2025-07-01 15:56:56,353 basehttp 18440 14032 "GET /api/showtimes/ HTTP/1.1" 200 628
INFO 2025-07-01 15:56:56,363 basehttp 18440 14032 "GET /api/showtimes/ HTTP/1.1" 200 628
INFO 2025-07-01 15:56:59,871 basehttp 18440 14032 "GET /api/showtimes/2/booked-seats/ HTTP/1.1" 200 19
INFO 2025-07-01 15:57:16,626 basehttp 18440 14032 "POST /api/bookings/ HTTP/1.1" 201 466
INFO 2025-07-01 15:57:16,652 basehttp 18440 14032 "POST /api/payments/ HTTP/1.1" 201 170
INFO 2025-07-01 15:57:16,687 basehttp 18440 14032 "GET /api/bookings/ HTTP/1.1" 200 1935
INFO 2025-07-01 15:57:16,699 basehttp 18440 14032 "GET /api/bookings/ HTTP/1.1" 200 1935
INFO 2025-07-01 15:58:53,888 basehttp 18440 14032 "GET /api/bookings/ HTTP/1.1" 200 1935
INFO 2025-07-01 15:58:53,900 basehttp 18440 14032 "GET /api/bookings/ HTTP/1.1" 200 1935
INFO 2025-07-01 15:59:10,266 basehttp 18440 14032 "POST /api/token/ HTTP/1.1" 200 483
INFO 2025-07-01 15:59:10,286 basehttp 18440 14032 "GET /api/movies/ HTTP/1.1" 200 382
INFO 2025-07-01 15:59:10,291 basehttp 18440 14032 "GET /api/movies/ HTTP/1.1" 200 382
INFO 2025-07-01 15:59:12,256 basehttp 18440 14032 "GET /api/movies/2/ HTTP/1.1" 200 180
INFO 2025-07-01 15:59:12,260 basehttp 18440 15552 "GET /api/showtimes/ HTTP/1.1" 200 628
INFO 2025-07-01 15:59:12,261 basehttp 18440 14032 "GET /api/movies/2/ HTTP/1.1" 200 180
INFO 2025-07-01 15:59:12,269 basehttp 18440 15552 "GET /api/showtimes/ HTTP/1.1" 200 628
INFO 2025-07-01 15:59:15,639 basehttp 18440 15552 "GET /api/showtimes/2/booked-seats/ HTTP/1.1" 200 34
INFO 2025-07-01 15:59:33,890 basehttp 18440 15552 "POST /api/bookings/ HTTP/1.1" 201 466
INFO 2025-07-01 15:59:33,914 basehttp 18440 15552 "POST /api/payments/ HTTP/1.1" 201 179
INFO 2025-07-01 15:59:33,945 basehttp 18440 15552 "GET /api/bookings/ HTTP/1.1" 200 2577
INFO 2025-07-01 15:59:33,958 basehttp 18440 15552 "GET /api/bookings/ HTTP/1.1" 200 2577
INFO 2025-07-01 15:59:43,332 basehttp 18440 12172 "GET /admin/ HTTP/1.1" 200 10915
WARNING 2025-07-01 15:59:43,470 log 18440 12172 Not Found: /favicon.ico
WARNING 2025-07-01 15:59:43,470 basehttp 18440 12172 "GET /favicon.ico HTTP/1.1" 404 2743
INFO 2025-07-01 15:59:46,588 basehttp 18440 12172 "GET /admin/cinema/payment/ HTTP/1.1" 200 12594
INFO 2025-07-01 15:59:46,607 basehttp 18440 12172 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-07-01 15:59:46,615 basehttp 18440 7436 "GET /media/payment_proofs/Screenshot_2025-04-08_150622.png HTTP/1.1" 200 224867
INFO 2025-07-01 15:59:46,623 basehttp 18440 14552 "GET /media/payment_proofs/Screenshot_9_Zk7zHt2.png HTTP/1.1" 200 573385
INFO 2025-07-01 15:59:46,628 basehttp 18440 14552 "GET /media/payment_proofs/Screenshot_9.png HTTP/1.1" 304 0
INFO 2025-07-01 15:59:46,629 basehttp 18440 7436 "GET /media/payment_proofs/Screenshot_2025-04-02_122423_2.png HTTP/1.1" 304 0
INFO 2025-07-01 15:59:51,563 basehttp 18440 7436 "GET /admin/cinema/payment/5/change/ HTTP/1.1" 200 13068
INFO 2025-07-01 15:59:51,572 basehttp 18440 14552 "GET /media/payment_proofs/Screenshot_2025-04-08_150622.png HTTP/1.1" 304 0
INFO 2025-07-01 15:59:51,575 basehttp 18440 7436 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-07-01 15:59:56,996 basehttp 18440 7436 "GET /admin/cinema/booking/ HTTP/1.1" 200 13509
INFO 2025-07-01 15:59:57,008 basehttp 18440 7436 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-07-01 16:00:09,000 basehttp 18440 7436 "GET /admin/cinema/movie/ HTTP/1.1" 200 11973
INFO 2025-07-01 16:00:09,011 basehttp 18440 7436 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-07-01 16:00:13,359 basehttp 18440 7436 "GET /admin/cinema/payment/ HTTP/1.1" 200 12594
INFO 2025-07-01 16:00:13,369 basehttp 18440 14552 "GET /media/payment_proofs/Screenshot_2025-04-08_150622.png HTTP/1.1" 304 0
INFO 2025-07-01 16:00:13,369 basehttp 18440 12172 "GET /media/payment_proofs/Screenshot_9_Zk7zHt2.png HTTP/1.1" 304 0
INFO 2025-07-01 16:00:13,373 basehttp 18440 7436 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-07-01 16:00:23,503 basehttp 18440 7436 "POST /admin/cinema/payment/ HTTP/1.1" 302 0
INFO 2025-07-01 16:00:23,523 basehttp 18440 7436 "GET /admin/cinema/payment/ HTTP/1.1" 200 12594
INFO 2025-07-01 16:00:23,532 basehttp 18440 12172 "GET /media/payment_proofs/Screenshot_2025-04-08_150622.png HTTP/1.1" 304 0
INFO 2025-07-01 16:00:23,535 basehttp 18440 7436 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-07-01 16:00:30,472 basehttp 18440 15552 "GET /api/bookings/ HTTP/1.1" 200 2579
INFO 2025-07-01 16:00:30,484 basehttp 18440 15552 "GET /api/bookings/ HTTP/1.1" 200 2579
INFO 2025-07-01 16:00:33,419 basehttp 18440 15552 "GET /api/bookings/ HTTP/1.1" 200 2579
INFO 2025-07-01 16:00:33,435 basehttp 18440 15552 "GET /api/bookings/ HTTP/1.1" 200 2579
